problem,n_nodes,tour_length,status
0.prob,3715,1128.6508843145639,success
1.prob,4081,1067.9758376483455,success
2.prob,3324,242.86243078942994,success
3.prob,2900,224.2114499772777,success
4.prob,2778,1047.4938608703592,success
5.prob,2276,202.0674541690126,success
6.prob,2599,988.9628265196015,success
7.prob,2540,1011.3164553666701,success
8.prob,4060,5731.384266162841,success
9.prob,2024,194.84674102637214,success
