problem,n_nodes,tour_length,status
0.prob,3715,79267.70153625502,success
1.prob,4081,87730.59235523357,success
2.prob,3324,23256.843051700595,success
3.prob,2900,20282.177254061957,success
4.prob,2778,58805.627419759636,success
5.prob,2276,15692.852303276004,success
6.prob,2599,55429.80478142773,success
7.prob,2540,56382.945299065264,success
8.prob,4060,327130.3740173026,success
9.prob,2024,14139.332649219754,success
