problem,n_nodes,tour_length,status
0.prob,3715,1459.066085844883,success
1.prob,4081,3266.20076257089,success
2.prob,3324,746.7052471371185,success
3.prob,2900,620.6524538499788,success
4.prob,2778,2471.8794262816646,success
5.prob,2276,497.4016230461954,success
6.prob,2599,2490.2757644183553,success
7.prob,2540,2642.2093183392244,success
8.prob,4060,20469.62244713894,success
9.prob,2024,467.0672318726207,success
