problem_id,total_length
0,6936888.930178938
1,7683209.520230475
2,2490267.662760114
3,2191288.8440036704
4,5132849.029106731
5,1684901.2564686846
6,4843257.633016652
7,4888819.184578038
8,28980800.345054124
9,1505619.0243422722
